x1,y1
0.000504,1.94432666
0.560447981,1.372153198
1.120391942,0.968274353
1.680335903,0.683068359
2.240279864,0.481554657
2.800223961,0.33927594
3.360167922,0.238437164
3.920111883,0.166498169
4.480055844,0.115304779
5.039999805,0.07825354
5.600447922,0.050361107
6.160391883,0.028010159
6.720335844,0.00975824
7.280279805,0.008131512
7.840223766,0.009242934
8.400167727,0.01097658
8.960111688,0.012052193
9.520055105,0.01255047
10.07999961,0.014625969
10.64044718,0.017172016
11.20039169,0.019069048
11.76033511,0.020764301
12.32027961,0.022108654
12.88022303,0.023585085
13.44016753,0.026018099
14.00011095,0.03025898
14.56005545,0.034785007
15.11999887,0.043022655
15.68044753,0.055753937
16.24039095,0.070180618
16.80033545,0.058769577
17.36027887,0.053661995
17.92022338,0.056398876
18.48016679,0.06035479
19.04011021,0.069895042
19.6000558,0.083083382
20.15999922,0.100195663
20.72044679,0.127780037
21.28039021,0.12784185
21.8403358,0.141546356
22.40027922,0.157048828
22.96022264,0.180691284
23.52016605,0.210120239
24.08011165,0.239822006
24.64005506,0.267413879
25.19999848,0.299931885
25.76044605,0.33011908
26.32039165,0.367868591
26.88033506,0.407768005
27.44027848,0.436964935
28.0002219,0.468023376
28.56016749,0.500325928
29.12011091,0.547056152
29.68005432,0.596167175
30.23999774,0.625145996
30.80044749,0.651757385
31.36039091,0.687420288
31.92033432,0.730040955
32.48027774,0.779885193
33.04022333,0.81761145
33.60016675,0.857822144
34.16011017,0.890942749
34.72005359,0.909513
35.27999918,0.928230652
35.84044675,0.952035645
36.40039017,0.982433289
36.96033359,1.011207275
37.520277,1.052487793
38.08022042,1.096349976
38.64016819,1.147208984
39.2001116,1.187092896
39.76005502,1.229627686
40.31999844,1.276109741
40.88044601,1.313561523
41.44038943,1.350186401
42.00033285,1.381619141
42.56027626,1.421637451
43.12022403,1.462560547
43.68016745,1.509991699
44.24011086,1.567004028
44.80005428,1.615617676
45.3599977,1.67333374
45.92044527,1.721660645
46.48038869,1.774780762
47.04033211,1.826615967
47.60027553,1.869151245
48.16022329,1.932794312
48.72016671,1.973223633
49.28011013,2.016022461
49.84005354,2.070202637
50.39999696,2.131328369
50.96044453,2.196084961
51.52038795,2.262533936
52.08033137,2.319298828
